identifier,entity
FOREST ENGINEER,FOREST ENGINEER
FOREST GUARD,FOREST GUARD
FOREST SETTLEMENT OFFICER,FOREST SETTLEMENT OFFICER
FOREST STATISTICIAN,FOREST STATISTICIAN
FRONT OFFICE EXECUTIVE,FRONT OFFICE EXECUTIVE
GANERATOR OPERATOR,GANERATOR OPERATOR
GARDENER,GARDENER
GARRISON ENGINEER,GARRISON ENGINEER
GAUGE CHECKER,GAUGE CHECKER
GAZETTED ASSISTANT,GAZETTED ASSISTANT
GENERAL DUTY DOCTOR,GENERAL DUTY DOCTOR
GENERAL DUTY MEDICAL OFFICER,GENERAL DUTY MEDICAL OFFICER
GENERAL MANAGER,GENERAL MANAGER
GENERAL MANAGER - SIGNAL & TRANSMISSION,GENERAL MANAGER - SIGNAL & TRANSMISSION
GENERAL SECERTARY,GENERAL SECERTARY
GENERAL STAFF OFFICER-I,GENERAL STAFF OFFICER-I
GEOGRAPHER,GEOGRAPHER
GESTETNER OPERATOR,GESTETNER OPERATOR
GESTETNER OPERATOR JUNIOR,GESTETNER OPERATOR JUNIOR
GESTETNER OPERATOR SENIOR,GESTETNER OPERATOR SENIOR
GIS SPECIALIST,GIS SPECIALIST
GLASS BLOWER,GLASS BLOWER
GOVERNOR,GOVERNOR
GRAPHIC ARTIST,GRAPHIC ARTIST
GRAPHIC SUPERVISOR,GRAPHIC SUPERVISOR
GRAPHICS EXECUTIVE,GRAPHICS EXECUTIVE
GRIEVANCE OFFICER,GRIEVANCE OFFICER
GROUNDSMAN,GROUNDSMAN
GROUP COMMANDER,GROUP COMMANDER
GROUP GENERAL MANAGER,GROUP GENERAL MANAGER
GUEST COORDINATOR,GUEST COORDINATOR
GYNAECOLOGIST,GYNAECOLOGIST
GYNOCOLOGIST,GYNOCOLOGIST
HALWAI,HALWAI
HARBOUR MASTER,HARBOUR MASTER
HARDWARE ENGINEER,HARDWARE ENGINEER
HEAD,HEAD
HEAD ASSISTANT,HEAD ASSISTANT
HEAD CLERK,HEAD CLERK
HEAD CONSTABLE,HEAD CONSTABLE
HEAD DRAFTSMAN,HEAD DRAFTSMAN
HEAD HAVALDAR,HEAD HAVALDAR
HEAD MALI,HEAD MALI
HEAD MESS HELPER,HEAD MESS HELPER
HEAD MISTRESS,HEAD MISTRESS
HEAD OF DEPARTMENT,HEAD OF DEPARTMENT
HEAD QUARTERS ASSISTANT,HEAD QUARTERS ASSISTANT
HEAD SECURITY GUARD,HEAD SECURITY GUARD
HEAD TRANSLATOR,HEAD TRANSLATOR
HEADMASTER,HEADMASTER
HEALTH PROGRAMME OFFICER,HEALTH PROGRAMME OFFICER
HELPER,HELPER
HELPER B,HELPER B
HELPER C,HELPER C
HELPER D,HELPER D
HELPER E,HELPER E
HELPER F,HELPER F
HIGH COMMISSIONER,HIGH COMMISSIONER
HIGHER ADMINISTRATIVE GRADE,HIGHER ADMINISTRATIVE GRADE
HIGHLY SKILLED GRADE-I,HIGHLY SKILLED GRADE-I
HIGHLY SKILLED GRADE-II,HIGHLY SKILLED GRADE-II
HINDI ASSISTANT,HINDI ASSISTANT
HINDI OFFICER,HINDI OFFICER
HINDI TRANSLATOR,HINDI TRANSLATOR
HINDI TYPIST,HINDI TYPIST
HOME MINISTER,HOME MINISTER
HOME SECRETARY,HOME SECRETARY
HORTICULTURE OFFICER,HORTICULTURE OFFICER
HOSPITALITY OFFICER,HOSPITALITY OFFICER
HOUSEKEEPER,HOUSEKEEPER
HOUSEKEEPER GRADE I,HOUSEKEEPER GRADE I
HOUSEKEEPER GRADE II,HOUSEKEEPER GRADE II
HOUSEKEEPER GRADE III,HOUSEKEEPER GRADE III
HOUSEKEEPER SPECIAL GRADE,HOUSEKEEPER SPECIAL GRADE
INCHARGE,INCHARGE
INCOME TAX INSPECTOR,INCOME TAX INSPECTOR
INCOME TAX OFFICER,INCOME TAX OFFICER
INDIAN POLICE SERVICE,INDIAN POLICE SERVICE
INDUSTRIAL ADVISER,INDUSTRIAL ADVISER
INFORMATION ASSISTANT,INFORMATION ASSISTANT
INFORMATION COMMISSIONER,INFORMATION COMMISSIONER
INFORMATION OFFICER,INFORMATION OFFICER
INFORMATION SCIENTIST,INFORMATION SCIENTIST
INQUIRY OFFICER,INQUIRY OFFICER
INSPECTING OFFICER,INSPECTING OFFICER
INSPECTOR,INSPECTOR
INSPECTOR GENERAL,INSPECTOR GENERAL
INSPECTOR GENERAL OF FOREST,INSPECTOR GENERAL OF FOREST
INSPECTOR GENERAL OF POLICE,INSPECTOR GENERAL OF POLICE
INSPECTOR OF ACCOUNTS,INSPECTOR OF ACCOUNTS
INSPECTOR OF MOTOR VEHICLE,INSPECTOR OF MOTOR VEHICLE
INSPIRE FACULTY,INSPIRE FACULTY
INSTRUCTOR,INSTRUCTOR
INSTRUMENTALIST GRADE-I,INSTRUMENTALIST GRADE-I
INSTRUMENTALIST GRADE-II,INSTRUMENTALIST GRADE-II
INSTRUMENTALIST GRADE-III,INSTRUMENTALIST GRADE-III
INSTRUMENTALIST GRADE-IV,INSTRUMENTALIST GRADE-IV
INTEGRATED FINANCIAL ADVISER,INTEGRATED FINANCIAL ADVISER
INTEGRATED FINANCIAL ADVISOR,INTEGRATED FINANCIAL ADVISOR
INTERNAL AUDIT OFFICER,INTERNAL AUDIT OFFICER
INTERNAL AUDITOR,INTERNAL AUDITOR
INTERNAL FINANCIAL ADVISER,INTERNAL FINANCIAL ADVISER
INVESTIGATING OFFICER,INVESTIGATING OFFICER
INVESTIGATOR,INVESTIGATOR
JAIL SUPERINTENDENT,JAIL SUPERINTENDENT
JAMADAR,JAMADAR
JANITOR,JANITOR
JOINT  CONTROLLER GENERAL OF ACCOUNTS,JOINT  CONTROLLER GENERAL OF ACCOUNTS
JOINT ADMINISTRATOR,JOINT ADMINISTRATOR
JOINT ADVISER,JOINT ADVISER
JOINT ASSISTANT DIRECTOR,JOINT ASSISTANT DIRECTOR
JOINT CHIEF,JOINT CHIEF
JOINT CHIEF ELECTORAL OFFICER,JOINT CHIEF ELECTORAL OFFICER
JOINT CHIEF EXECUTIVE OFFICER,JOINT CHIEF EXECUTIVE OFFICER
JOINT CHIEF QUALITY ASSURANCE OFFICER,JOINT CHIEF QUALITY ASSURANCE OFFICER
JOINT COLLECTOR,JOINT COLLECTOR
JOINT COMMISSIONER,JOINT COMMISSIONER
JOINT COMMISSIONER OF EXCISE,JOINT COMMISSIONER OF EXCISE
JOINT COMMISSIONER OF INCOME TAX,JOINT COMMISSIONER OF INCOME TAX
JOINT COMMISSIONER OF POLICE,JOINT COMMISSIONER OF POLICE
JOINT COMMISSIONER OF SALES TAX,JOINT COMMISSIONER OF SALES TAX
JOINT CONTROLLER,JOINT CONTROLLER
JOINT CONTROLLER GENERAL OF DEFENCE ACCOUNTS,JOINT CONTROLLER GENERAL OF DEFENCE ACCOUNTS
JOINT CONTROLLER OF COMMUNICATION ACCOUNTS,JOINT CONTROLLER OF COMMUNICATION ACCOUNTS
JOINT CONTROLLER OF DEFENCE ACCOUNTS,JOINT CONTROLLER OF DEFENCE ACCOUNTS
JOINT CONTROLLER OF FINANCE,JOINT CONTROLLER OF FINANCE
JOINT CONTROLLER OF FINANCE AND ACCOUNTS,JOINT CONTROLLER OF FINANCE AND ACCOUNTS
JOINT DEPUTY DIRECTOR,JOINT DEPUTY DIRECTOR
JOINT DEPUTY SECRETARY,JOINT DEPUTY SECRETARY
JOINT DEVELOPMENT COMMISSIONER,JOINT DEVELOPMENT COMMISSIONER
JOINT DIRECTOR,JOINT DIRECTOR
JOINT DIRECTOR GENERAL,JOINT DIRECTOR GENERAL
JOINT DIRECTOR GENERAL FOREIGN TRADE,JOINT DIRECTOR GENERAL FOREIGN TRADE
JOINT DIRECTOR OF INCOME TAX,JOINT DIRECTOR OF INCOME TAX
JOINT ECONOMIC ADVISER,JOINT ECONOMIC ADVISER
JOINT EDUCATIONAL ADVISER,JOINT EDUCATIONAL ADVISER
JOINT EXCISE COMMISSIONER,JOINT EXCISE COMMISSIONER
JOINT EXECUTIVE DIRECTOR,JOINT EXECUTIVE DIRECTOR
JOINT EXECUTIVE OFFICER,JOINT EXECUTIVE OFFICER
JOINT FINANCIAL COMMISSIONER,JOINT FINANCIAL COMMISSIONER
JOINT GENERAL MANAGER,JOINT GENERAL MANAGER
JOINT INTEGRATED FINANCIAL ADVISER,JOINT INTEGRATED FINANCIAL ADVISER
JOINT LABOUR COMMISSIONER,JOINT LABOUR COMMISSIONER
JOINT MAGISTRATE,JOINT MAGISTRATE
JOINT MAMLATDAR,JOINT MAMLATDAR
JOINT MANAGER,JOINT MANAGER
JOINT MANAGING DIRECTOR,JOINT MANAGING DIRECTOR
JOINT PROJECT ADMINISTRATOR,JOINT PROJECT ADMINISTRATOR
JOINT REGISTRAR,JOINT REGISTRAR
JOINT RESIDENT COMMISSIONER,JOINT RESIDENT COMMISSIONER
JOINT SECRETARY,JOINT SECRETARY
JOINT SECRETARY AND FINANCIAL ADVISER,JOINT SECRETARY AND FINANCIAL ADVISER
JOINT TECHNICAL ADVISOR,JOINT TECHNICAL ADVISOR
JOINT TRANSPORT COMMISSIONER,JOINT TRANSPORT COMMISSIONER
JOINT WIRELESS ADVISER,JOINT WIRELESS ADVISER
JOINT WORKS MANAGER,JOINT WORKS MANAGER
JOURNALIST,JOURNALIST
JUNIOR ACCOUNTANT,JUNIOR ACCOUNTANT
JUNIOR ACCOUNTS ASSISTANT,JUNIOR ACCOUNTS ASSISTANT
JUNIOR ACCOUNTS OFFICER,JUNIOR ACCOUNTS OFFICER
JUNIOR ADMINISTRATIVE GRADE,JUNIOR ADMINISTRATIVE GRADE
JUNIOR ADMINISTRATIVE OFFICER,JUNIOR ADMINISTRATIVE OFFICER
JUNIOR ANALYST,JUNIOR ANALYST
JUNIOR ASSISTANT,JUNIOR ASSISTANT
JUNIOR ASSISTANT TYPIST,JUNIOR ASSISTANT TYPIST
JUNIOR AUDITOR,JUNIOR AUDITOR
JUNIOR CARPERNTRY HELPER,JUNIOR CARPERNTRY HELPER
JUNIOR CHANNEL ASSISTANT,JUNIOR CHANNEL ASSISTANT
JUNIOR CONSULTANT,JUNIOR CONSULTANT
JUNIOR DATA ENTRY OPERATOR,JUNIOR DATA ENTRY OPERATOR
JUNIOR DOCUMENT OFFICER,JUNIOR DOCUMENT OFFICER
JUNIOR ELECTRICIAN,JUNIOR ELECTRICIAN
JUNIOR ENGINEER,JUNIOR ENGINEER
JUNIOR ENGINEER (CIVIL & MECHANICAL),JUNIOR ENGINEER (CIVIL & MECHANICAL)
JUNIOR ENGINEER GRADE I,JUNIOR ENGINEER GRADE I
JUNIOR ENGINEER GRADE II,JUNIOR ENGINEER GRADE II
JUNIOR ENGINEER GRADE V(A),JUNIOR ENGINEER GRADE V(A)
JUNIOR ENGINEER GRADE V(B),JUNIOR ENGINEER GRADE V(B)
JUNIOR EXECUTIVE,JUNIOR EXECUTIVE
JUNIOR FIELD ASSISTANT,JUNIOR FIELD ASSISTANT
JUNIOR FIELD OFFICER,JUNIOR FIELD OFFICER
JUNIOR GARDENER,JUNIOR GARDENER
JUNIOR GESTETNER OPERATOR,JUNIOR GESTETNER OPERATOR
JUNIOR HINDI TRANSLATOR,JUNIOR HINDI TRANSLATOR
JUNIOR INVESTIGATOR,JUNIOR INVESTIGATOR
JUNIOR LABORATORY ASSISTANT,JUNIOR LABORATORY ASSISTANT
JUNIOR LIBRARIAN,JUNIOR LIBRARIAN
JUNIOR LIBRARY ASSISTANT,JUNIOR LIBRARY ASSISTANT
JUNIOR LIBRARY ATTENDANT,JUNIOR LIBRARY ATTENDANT
JUNIOR MACHINE OPERATOR,JUNIOR MACHINE OPERATOR
JUNIOR MEDICAL OFFICER,JUNIOR MEDICAL OFFICER
JUNIOR MINING GEOLOGIST,JUNIOR MINING GEOLOGIST
JUNIOR OPERATOR,JUNIOR OPERATOR
JUNIOR PLUMBER,JUNIOR PLUMBER
JUNIOR PRODUCTION ASSISTANT,JUNIOR PRODUCTION ASSISTANT
JUNIOR PROFESSIONAL,JUNIOR PROFESSIONAL
JUNIOR PROJECTIONIST,JUNIOR PROJECTIONIST
JUNIOR PROOF READER,JUNIOR PROOF READER
JUNIOR PUBLICATION OFFICER,JUNIOR PUBLICATION OFFICER
JUNIOR REPROGRAPHY ASSISTANT,JUNIOR REPROGRAPHY ASSISTANT
JUNIOR RESEARCH OFFICER,JUNIOR RESEARCH OFFICER
JUNIOR RONEO OPERATOR,JUNIOR RONEO OPERATOR
JUNIOR SCIENTIFIC OFFICER,JUNIOR SCIENTIFIC OFFICER
JUNIOR SECRETARIAT ASSISTANT,JUNIOR SECRETARIAT ASSISTANT
JUNIOR STAFF,JUNIOR STAFF
JUNIOR STAFF SURGEON,JUNIOR STAFF SURGEON
JUNIOR STATISTICAL ASSISTANT,JUNIOR STATISTICAL ASSISTANT
JUNIOR STATISTICAL INVESTIGATOR,JUNIOR STATISTICAL INVESTIGATOR
JUNIOR STATISTICAL OFFICER,JUNIOR STATISTICAL OFFICER
JUNIOR TECHNICAL ASSISTANT,JUNIOR TECHNICAL ASSISTANT
JUNIOR TECHNICAL EXPERT,JUNIOR TECHNICAL EXPERT
JUNIOR TECHNICAL OFFICER,JUNIOR TECHNICAL OFFICER
JUNIOR TECHNICIAN,JUNIOR TECHNICIAN
JUNIOR TELECOM INSPECTOR,JUNIOR TELECOM INSPECTOR
JUNIOR TELECOM OFFICER,JUNIOR TELECOM OFFICER
JUNIOR TIME SCALE,JUNIOR TIME SCALE
JUNIOR TRANSLATION OFFICER,JUNIOR TRANSLATION OFFICER
JUNIOR TRANSLATOR,JUNIOR TRANSLATOR
JUNIOR TRANSPORT ASSISTANT,JUNIOR TRANSPORT ASSISTANT
JUSTICE,JUSTICE
JUTE COMMISSIONER,JUTE COMMISSIONER
KHALASI,KHALASI
KHALASI C,KHALASI C
KHALASI E,KHALASI E
LAB ANALYST,LAB ANALYST
LAB ASSISTANT B,LAB ASSISTANT B
LAB ASSISTANT C,LAB ASSISTANT C
LAB ASSISTANT D,LAB ASSISTANT D
LAB ATTENDANT,LAB ATTENDANT
LABORATORY ASSISTANT,LABORATORY ASSISTANT
LABORATORY ASSISTANT A,LABORATORY ASSISTANT A
LABORATORY ASSISTANT B,LABORATORY ASSISTANT B
LABORATORY ASSISTANT C,LABORATORY ASSISTANT C
LABORATORY SUPERVISOR,LABORATORY SUPERVISOR
LABORATORY TECHNICIAN,LABORATORY TECHNICIAN
LABOUR ENFORCEMENT OFFICER,LABOUR ENFORCEMENT OFFICER
LABOUR OFFICER,LABOUR OFFICER
LABOUR WELFARE COMMISSIONER,LABOUR WELFARE COMMISSIONER
LABOUR WELFARE OFFICER,LABOUR WELFARE OFFICER
LAND ACQUISITION OFFICER,LAND ACQUISITION OFFICER
LAND DEVELOPMENT OFFICER,LAND DEVELOPMENT OFFICER
LAND REFORMS OFFICER,LAND REFORMS OFFICER
LAND REVENUE OFFICER,LAND REVENUE OFFICER
LAW OFFICER,LAW OFFICER
LAYOUT ARTIST,LAYOUT ARTIST
LEAD INFRASTRUCTURE COORDINATOR,LEAD INFRASTRUCTURE COORDINATOR
LEAD PRODUCT ARCHITECT,LEAD PRODUCT ARCHITECT
LEADING FIREMAN,LEADING FIREMAN
LECTURER,LECTURER
LECTURER SELECTION GRADE,LECTURER SELECTION GRADE
LEGAL ADVISER,LEGAL ADVISER
LEGAL ADVISOR,LEGAL ADVISOR
LEGAL ASSISTANT,LEGAL ASSISTANT
LEGAL EXECUTIVE,LEGAL EXECUTIVE
LEGAL OFFICER,LEGAL OFFICER
LEGAL REMEMBRANCER,LEGAL REMEMBRANCER
LEGISLATIVE ASSISTANT,LEGISLATIVE ASSISTANT
LEGISLATIVE OFFICER,LEGISLATIVE OFFICER
LEPROSY OFFICER GRADE I,LEPROSY OFFICER GRADE I
LEPROSY OFFICER GRADE II,LEPROSY OFFICER GRADE II
LIAISON OFFICER,LIAISON OFFICER
LIBRARIAN,LIBRARIAN
LIBRARY AND INFORMATION ASSISTANT,LIBRARY AND INFORMATION ASSISTANT
LIBRARY AND INFORMATION OFFICER,LIBRARY AND INFORMATION OFFICER
LIBRARY ASSISTANT,LIBRARY ASSISTANT
LIBRARY ASSISTANT A,LIBRARY ASSISTANT A
LIBRARY ASSISTANT B,LIBRARY ASSISTANT B
LIBRARY ASSISTANT C,LIBRARY ASSISTANT C
LIBRARY ATTENDANT,LIBRARY ATTENDANT
LIBRARY ATTENDANT GRADE II,LIBRARY ATTENDANT GRADE II
LIBRARY CLERK,LIBRARY CLERK
LIEUTENANT GOVERNOR,LIEUTENANT GOVERNOR
LIFT OPERATOR,LIFT OPERATOR
LIGHTING ASSISTANT,LIGHTING ASSISTANT
LITHOGRAPHIC OPERATOR,LITHOGRAPHIC OPERATOR
LOKAYUKTA,LOKAYUKTA
LOWER DIVISION ASSISTANT,LOWER DIVISION ASSISTANT
LOWER DIVISION CLERK,LOWER DIVISION CLERK
MACHINE OPERATOR,MACHINE OPERATOR
MAGISTRATE,MAGISTRATE
MAHARASHTRA FINANCE AND ACCOUNTS SERVICES CLASS-I (JR),MAHARASHTRA FINANCE AND ACCOUNTS SERVICES CLASS-I (JR)
MAINTENANCE ENGINEER,MAINTENANCE ENGINEER
MAKEUP ARTIST,MAKEUP ARTIST
MAKEUP ASSISTANT,MAKEUP ASSISTANT
MALI,MALI
MAMLATDAR,MAMLATDAR
MANAGEMENT ANALYST SB,MANAGEMENT ANALYST SB
MANAGEMENT EXECUTIVE,MANAGEMENT EXECUTIVE
MANAGER,MANAGER
MANAGING DIRECTOR,MANAGING DIRECTOR
MAP OFFICER,MAP OFFICER
MARINE ENGINEER,MARINE ENGINEER
MARINE ENGINEERING SUPERINTENDENT,MARINE ENGINEERING SUPERINTENDENT
MARKETING MANAGER,MARKETING MANAGER
MARSHAL,MARSHAL
MASON,MASON
MAST TECHNICIAN,MAST TECHNICIAN
MASTER CRAFTSMAN,MASTER CRAFTSMAN
MASTER PILOT,MASTER PILOT
MATE,MATE
MATERIALS MANAGER,MATERIALS MANAGER
MATRON,MATRON
MAYOR,MAYOR
MECHANIC,MECHANIC
MEDIA & COMMUNICATION OFFICER,MEDIA & COMMUNICATION OFFICER
MEDIA ADVISOR,MEDIA ADVISOR
MEDICAL COMMISSIONER,MEDICAL COMMISSIONER
MEDICAL DIRECTOR,MEDICAL DIRECTOR
MEDICAL OFFICER,MEDICAL OFFICER
MEDICAL PHYSICIST,MEDICAL PHYSICIST
MEDICAL REFEREE,MEDICAL REFEREE
MEDICAL SOCIAL WORKER,MEDICAL SOCIAL WORKER
MEDICAL SPECIALIST,MEDICAL SPECIALIST
MEDICAL SUPERINTENDENT,MEDICAL SUPERINTENDENT
MEMBER,MEMBER
MEMBER SECRETARY,MEMBER SECRETARY
MEMBER SPECIAL SECRETARY,MEMBER SPECIAL SECRETARY
MEMBER TECHNICAL,MEMBER TECHNICAL
MESS HELPER,MESS HELPER
METER READER,METER READER
MICROBIOLOGIST,MICROBIOLOGIST
MINISTER,MINISTER
MINISTER OF STATE,MINISTER OF STATE
MISSION COORDINATOR,MISSION COORDINATOR
MISSION DIRECTOR,MISSION DIRECTOR
MOTOR DRIVER,MOTOR DRIVER
MOTOR MECHANIC,MOTOR MECHANIC
MOTOR VEHICLE PROCUTOR,MOTOR VEHICLE PROCUTOR
MUKHYA NAGAR ADHIKARI,MUKHYA NAGAR ADHIKARI
MULTI TASKING STAFF,MULTI TASKING STAFF
MUNICIPAL COMMISSIONER,MUNICIPAL COMMISSIONER
MUNICIPAL CORPN,MUNICIPAL CORPN
MUNICIPAL OFFICER,MUNICIPAL OFFICER
MURALIST,MURALIST
MUSIC COMPOSER GROUP-I,MUSIC COMPOSER GROUP-I
MUSIC COMPOSER GROUP-II,MUSIC COMPOSER GROUP-II
MUSIC COMPOSER GROUP-III,MUSIC COMPOSER GROUP-III
MUSIC COMPOSER GROUP-IV,MUSIC COMPOSER GROUP-IV
MUSICIAN,MUSICIAN
NAIB TAHSILDAR,NAIB TAHSILDAR
NATIONAL PROGRAMME COORDINATOR,NATIONAL PROGRAMME COORDINATOR
NAVAL STORE OFFICER,NAVAL STORE OFFICER
NETWORK ADMINISTRATOR,NETWORK ADMINISTRATOR
NETWORK ENGINEER,NETWORK ENGINEER
NETWORK MANAGER,NETWORK MANAGER
NEWS EDITOR,NEWS EDITOR
NEWS READER GRADE-I,NEWS READER GRADE-I
NEWS READER GRADE-II,NEWS READER GRADE-II
NEWS READER GRADE-III,NEWS READER GRADE-III
NEWS REPORTER,NEWS REPORTER
NEWSREADER-CUM-TRANSLATOR GRADE-I,NEWSREADER-CUM-TRANSLATOR GRADE-I
NEWSREADER-CUM-TRANSLATOR GRADE-II,NEWSREADER-CUM-TRANSLATOR GRADE-II
NEWSREADER-CUM-TRANSLATOR GRADE-III,NEWSREADER-CUM-TRANSLATOR GRADE-III
No Designation,No Designation
NO REPORTING,NO REPORTING
NO REVIEWING,NO REVIEWING
NODAL OFFICER,NODAL OFFICER
NOTICE SERVER,NOTICE SERVER
NURSING ORDERLY,NURSING ORDERLY
NURSING SISTER,NURSING SISTER
NURSING SUPERINTENDENT,NURSING SUPERINTENDENT
OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPIST
OFFICE ASSISTANT,OFFICE ASSISTANT
OFFICE ATTENDANT,OFFICE ATTENDANT
OFFICE MANAGER,OFFICE MANAGER
OFFICE SUPERINTENDENT,OFFICE SUPERINTENDENT
OFFICER,OFFICER
OFFICER IN CHARGE,OFFICER IN CHARGE
OFFICER IN CHARGE OF DISTRIBUTION,OFFICER IN CHARGE OF DISTRIBUTION
OFFICER ON COMPULSORY WAITING,OFFICER ON COMPULSORY WAITING
OFFICER ON SPECIAL DUTY,OFFICER ON SPECIAL DUTY
OFFICER SURVEYOR,OFFICER SURVEYOR
OFFICIAL LIQUIDATOR,OFFICIAL LIQUIDATOR
OFFICIAL SPOKESPERSON,OFFICIAL SPOKESPERSON
OFFSET MACHINE MAN,OFFSET MACHINE MAN
ON FOREIGN ASSIGNMENT,ON FOREIGN ASSIGNMENT
ON FOREIGN TRAINING,ON FOREIGN TRAINING
OPERATIONS OFFICER,OPERATIONS OFFICER
OPERATOR,OPERATOR
OPTHALMOLOGIST,OPTHALMOLOGIST
OPTOMETRIST,OPTOMETRIST
ORTHOPEDIC SPECIALIST,ORTHOPEDIC SPECIALIST
PACKER,PACKER
PAEDIATRICIAN,PAEDIATRICIAN
PAINTER,PAINTER
PAR CUSTODIAN,PAR CUSTODIAN
PAR MANAGER,PAR MANAGER
PARLIAMENT ASSISTANT,PARLIAMENT ASSISTANT
PARLIAMENTARY INTERPRETER,PARLIAMENTARY INTERPRETER
PARLIAMENTARY INTERPRETER GRADE I,PARLIAMENTARY INTERPRETER GRADE I
PARLIAMENTARY INTERPRETER GRADE II,PARLIAMENTARY INTERPRETER GRADE II
PARLIAMENTARY REPORTER,PARLIAMENTARY REPORTER
PARLIAMENTARY REPORTER GRADE I,PARLIAMENTARY REPORTER GRADE I
PARLIAMENTARY REPORTER GRADE II,PARLIAMENTARY REPORTER GRADE II
PARLIAMENTARY SECRETARY,PARLIAMENTARY SECRETARY
PATENT ENGINEER,PATENT ENGINEER
PATHALOGIST,PATHALOGIST
PATHOLOGICAL ASSISTANT,PATHOLOGICAL ASSISTANT
PAY AND ACCOUNTS OFFICER,PAY AND ACCOUNTS OFFICER
PEON,PEON
PERMANENT REPRESENTATIVE,PERMANENT REPRESENTATIVE
PERSONAL  SECRETARY,PERSONAL  SECRETARY
PERSONAL ASSISTANT,PERSONAL ASSISTANT
PERSONAL ATTENDANT,PERSONAL ATTENDANT
PERSONAL PRIVATE SECRETARY,PERSONAL PRIVATE SECRETARY
PHARMACIST,PHARMACIST
PHOTOCOPIER,PHOTOCOPIER
PHOTOCOPY ASSISTANT,PHOTOCOPY ASSISTANT
PHOTOGRAPHER,PHOTOGRAPHER
PHOTOGRAPHER-I,PHOTOGRAPHER-I
PHOTOGRAPHER-II,PHOTOGRAPHER-II
PHOTOGRAPHER-III,PHOTOGRAPHER-III
PHOTOGRAPHY ASSISTANT,PHOTOGRAPHY ASSISTANT
PHYSICAL CULTURAL INSTRUCTOR,PHYSICAL CULTURAL INSTRUCTOR
PHYSICAL DIRECTOR,PHYSICAL DIRECTOR
PHYSICAL EDUCATION INSTRUCTOR,PHYSICAL EDUCATION INSTRUCTOR
PHYSICAL TRAINING INSTRUCTOR,PHYSICAL TRAINING INSTRUCTOR
PHYSICIAN,PHYSICIAN
PHYSIOTHERAPIST,PHYSIOTHERAPIST
PILOT,PILOT
PLANNING ADVISER,PLANNING ADVISER
PLANNING OFFICER,PLANNING OFFICER
PLANT OPERATOR,PLANT OPERATOR
PLUMBER,PLUMBER
POLICE INSPECTOR,POLICE INSPECTOR
POLICE INSPECTOR ARMED,POLICE INSPECTOR ARMED
POLICE INSPECTOR UNARMED,POLICE INSPECTOR UNARMED
POLICY OFFICER,POLICY OFFICER
PORT HEALTH OFFICER,PORT HEALTH OFFICER
PORT SAFETY AND FIRE OFFICER,PORT SAFETY AND FIRE OFFICER
PORTAL ADMINISTRATOR,PORTAL ADMINISTRATOR
PORTFOLIO MANAGER,PORTFOLIO MANAGER
POSTING AWAITED,POSTING AWAITED
POSTMASTER GENERAL,POSTMASTER GENERAL
PRACTICAL TRAINING,PRACTICAL TRAINING
PRESENTING OFFICER,PRESENTING OFFICER
PRESIDENT,PRESIDENT
PRESIDENT OF INDIA,PRESIDENT OF INDIA
PRESIDING OFFICER,PRESIDING OFFICER
PRESS REGISTRAR,PRESS REGISTRAR
PRESS SECRETARY,PRESS SECRETARY
PRIME MINISTER OF INDIA,PRIME MINISTER OF INDIA
PRINCIPAL,PRINCIPAL
PRINCIPAL  ADVISOR,PRINCIPAL  ADVISOR
PRINCIPAL  DIRECTOR OF INCOME TAX,PRINCIPAL  DIRECTOR OF INCOME TAX
PRINCIPAL ACCOUNTANT GENERAL,PRINCIPAL ACCOUNTANT GENERAL
PRINCIPAL ADDITIONAL DIRECTOR GENERAL,PRINCIPAL ADDITIONAL DIRECTOR GENERAL
PRINCIPAL ADVISER,PRINCIPAL ADVISER
PRINCIPAL CHIEF COMMERCIAL MANAGER,PRINCIPAL CHIEF COMMERCIAL MANAGER
PRINCIPAL CHIEF COMMISSIONER,PRINCIPAL CHIEF COMMISSIONER
PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX,PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX
PRINCIPAL CHIEF CONSERVATOR OF FORESTS,PRINCIPAL CHIEF CONSERVATOR OF FORESTS
PRINCIPAL CHIEF CONSERVATOR OF FORESTS AND HEAD OF FOREST FORCE,PRINCIPAL CHIEF CONSERVATOR OF FORESTS AND HEAD OF FOREST FORCE
PRINCIPAL CHIEF CONTROLLER OF ACCOUNTS,PRINCIPAL CHIEF CONTROLLER OF ACCOUNTS
PRINCIPAL CHIEF ELECTRICAL ENGINEER,PRINCIPAL CHIEF ELECTRICAL ENGINEER
PRINCIPAL CHIEF ENGINEER,PRINCIPAL CHIEF ENGINEER
PRINCIPAL CHIEF MATERIALS MANAGER,PRINCIPAL CHIEF MATERIALS MANAGER
PRINCIPAL CHIEF MECHANICAL ENGINEER,PRINCIPAL CHIEF MECHANICAL ENGINEER
PRINCIPAL CHIEF MEDICAL DIRECTOR,PRINCIPAL CHIEF MEDICAL DIRECTOR
PRINCIPAL CHIEF OPERATIONS MANAGER,PRINCIPAL CHIEF OPERATIONS MANAGER
PRINCIPAL CHIEF PERSONNEL OFFICER,PRINCIPAL CHIEF PERSONNEL OFFICER
PRINCIPAL CHIEF SAFETY OFFICER,PRINCIPAL CHIEF SAFETY OFFICER
